id,Time,Is_CH,who_CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned_Energy,Attack_type
19,50,0,101044,41.21473,0,4,1,0,0,1,28,38,0,0,0,4,0.0628,Normal
20,50,0,101044,22.54714,0,4,1,0,0,1,15,38,0,0,0,4,0.06147,Normal
21,50,0,101000,30.32029,0,4,1,0,0,1,4,48,0,0,0,1,0.07905,Normal
22,50,0,101010,33.68188,0,4,1,0,0,1,14,41,0,0,0,3,0.06743,Normal
23,50,0,101010,25.37135,0,4,1,0,0,1,12,41,0,0,0,3,0.06671,Normal
24,50,0,101044,42.95017,0,4,1,0,0,1,21,38,0,0,0,4,0.06323,Normal
25,50,0,101031,14.88026,0,4,1,0,0,1,7,111,0,0,0,2,0.17919,Normal
26,50,0,101000,38.72916,0,4,1,0,0,1,19,48,0,0,0,1,0.07921,Normal
27,50,0,101010,24.20265,0,4,1,0,0,1,7,41,0,0,0,3,0.06684,Normal
28,50,0,101044,11.53332,0,4,1,0,0,1,1,38,0,0,0,4,0.06161,Normal
29,50,0,101010,27.93539,0,4,1,0,0,1,9,41,0,0,0,3,0.06698,Normal
30,50,0,101044,31.17339,0,4,1,0,0,1,24,38,0,0,0,4,0.06187,Normal
31,50,1,101031,0,1,0,0,8,1,0,0,0,888,111,176.40744,0,2.84054,Normal
32,50,0,101000,19.74436,0,4,1,0,0,1,22,48,0,0,0,1,0.07701,Normal
33,50,0,101031,16.11873,0,4,1,0,0,1,4,111,0,0,0,2,0.17999,Normal
34,50,0,101031,11.50538,0,4,1,0,0,1,5,111,0,0,0,2,0.1793,Normal
35,50,0,101031,10.72881,0,4,1,0,0,1,6,111,0,0,0,2,0.17905,Normal
36,50,0,101031,41.40768,0,4,1,0,0,1,2,111,0,0,0,2,0.18643,Normal
37,50,0,101044,44.93073,0,4,1,0,0,1,19,38,0,0,0,4,0.06352,Normal
38,50,0,101044,35.15659,0,4,1,0,0,1,31,38,0,0,0,4,0.06203,Normal
39,50,0,101010,17.19982,0,4,1,0,0,1,27,41,0,0,0,3,0.0655,Normal
40,50,0,101010,33.61006,0,4,1,0,0,1,5,41,0,0,0,3,0.06784,Normal
41,50,0,101044,44.80022,0,4,1,0,0,1,22,38,0,0,0,4,0.06344,Normal
42,50,0,101044,49.55254,0,4,1,0,0,1,7,38,0,0,0,4,0.06475,Normal
43,50,0,101000,24.35267,0,4,1,0,0,1,17,48,0,0,0,1,0.07762,Normal
44,50,1,101044,0,1,0,0,33,1,0,0,0,1254,38,125.33277,0,2.44645,Normal
45,50,0,101010,16.24487,0,4,1,0,0,1,22,41,0,0,0,3,0.0659,Normal
46,50,0,101010,10.79151,0,4,1,0,0,1,10,41,0,0,0,3,0.06593,Normal
47,50,0,101010,30.68364,0,4,1,0,0,1,24,41,0,0,0,3,0.06682,Normal
48,50,0,101000,15.19194,0,4,1,0,0,1,25,48,0,0,0,1,0.07662,Normal
49,50,0,101031,29.62308,0,4,1,0,0,1,8,111,0,0,0,2,0.18177,Normal
50,50,0,101000,20.34398,0,4,1,0,0,1,6,48,0,0,0,1,0.07802,Normal
51,50,0,101010,18.94737,0,4,1,0,0,1,20,41,0,0,0,3,0.06608,Normal
52,50,0,101000,17.65644,0,4,1,0,0,1,7,48,0,0,0,1,0.07782,Normal
53,50,0,101000,30.70464,0,4,1,0,0,1,10,48,0,0,0,1,0.07885,Normal
54,50,0,101031,55.7764,0,4,1,0,0,1,1,111,0,0,0,2,0.1925,Normal
55,50,0,101044,38.68534,0,4,1,0,0,1,8,38,0,0,0,4,0.0633,Normal
56,50,0,101000,0.88798,0,4,1,0,0,1,13,48,0,0,0,1,0.07689,Normal
57,50,0,101010,35.04884,0,4,1,0,0,1,2,41,0,0,0,3,0.06813,Normal
58,50,0,101000,15.5081,0,4,1,0,0,1,9,48,0,0,0,1,0.0776,Normal
59,50,0,101000,17.39217,0,4,1,0,0,1,14,48,0,0,0,1,0.07737,Normal
60,50,0,101000,11.4624,0,4,1,0,0,1,1,48,0,0,0,1,0.07773,Normal
61,50,0,101044,33.06447,0,4,1,0,0,1,3,38,0,0,0,4,0.06291,Normal
62,50,0,101000,55.1551,0,4,1,0,0,1,20,48,0,0,0,1,0.082,Normal
63,50,0,101044,13.05412,0,4,1,0,0,1,6,38,0,0,0,4,0.06146,Normal
64,50,0,101044,4.41022,0,4,1,0,0,1,4,38,0,0,0,4,0.06133,Normal
65,50,0,101010,43.78595,0,4,1,0,0,1,30,41,0,0,0,3,0.06794,Normal
66,50,0,101000,24.31343,0,4,1,0,0,1,11,48,0,0,0,1,0.07815,Normal
67,50,0,101000,56.64486,0,4,1,0,0,1,24,48,0,0,0,1,0.08213,Normal
68,50,0,101010,7.90087,0,4,1,0,0,1,28,41,0,0,0,3,0.06508,Normal
69,50,0,101010,18.09306,0,4,1,0,0,1,13,41,0,0,0,3,0.06619,Normal
70,50,0,101000,30.00582,0,4,1,0,0,1,8,48,0,0,0,1,0.07883,Normal
71,50,0,101044,12.74905,0,4,1,0,0,1,20,38,0,0,0,4,0.06083,Normal
72,50,0,101010,28.99592,0,4,1,0,0,1,23,41,0,0,0,3,0.06672,Normal
73,50,0,101044,14.28077,0,4,1,0,0,1,27,38,0,0,0,4,0.06069,Normal
74,50,0,101044,66.49979,0,4,1,0,0,1,9,38,0,0,0,4,0.06751,Normal
75,50,0,101044,20.73815,0,4,1,0,0,1,32,38,0,0,0,4,0.06085,Normal
76,50,0,101044,31.87084,0,4,1,0,0,1,25,38,0,0,0,4,0.06189,Normal
77,50,0,101044,39.38031,0,4,1,0,0,1,12,38,0,0,0,4,0.06322,Normal
78,50,0,101000,43.03524,0,4,1,0,0,1,16,48,0,0,0,1,0.07994,Normal
79,50,0,101044,4.44753,0,4,1,0,0,1,23,38,0,0,0,4,0.06052,Normal
80,50,0,101000,19.71711,0,4,1,0,0,1,3,48,0,0,0,1,0.07812,Normal
81,50,0,101044,35.81619,0,4,1,0,0,1,14,38,0,0,0,4,0.06263,Normal
82,50,0,101000,53.0663,0,4,1,0,0,1,15,48,0,0,0,1,0.08177,Normal
83,50,0,101010,26.38939,0,4,1,0,0,1,11,41,0,0,0,3,0.06682,Normal
84,50,0,101010,33.55825,0,4,1,0,0,1,15,41,0,0,0,3,0.06741,Normal
85,50,0,101044,23.19391,0,4,1,0,0,1,30,38,0,0,0,4,0.06104,Normal
86,50,0,101044,46.21013,0,4,1,0,0,1,11,38,0,0,0,4,0.0641,Normal
87,50,0,101010,20.84047,0,4,1,0,0,1,3,41,0,0,0,3,0.06689,Normal
88,50,0,101000,48.56976,0,4,1,0,0,1,5,48,0,0,0,1,0.08166,Normal
89,50,0,101044,12.45708,0,4,1,0,0,1,33,38,0,0,0,4,0.0604,Normal
90,50,0,101010,18.6925,0,4,1,0,0,1,1,41,0,0,0,3,0.0668,Normal
91,50,0,101044,51.20974,0,4,1,0,0,1,26,38,0,0,0,4,0.06419,Normal
92,50,0,101000,26.95593,0,4,1,0,0,1,23,48,0,0,0,1,0.07762,Normal
93,50,0,101031,23.58664,0,4,1,0,0,1,3,111,0,0,0,2,0.18131,Normal
94,50,0,101000,40.2791,0,4,1,0,0,1,18,48,0,0,0,1,0.07945,Normal
95,50,0,101010,21.19328,0,4,1,0,0,1,29,41,0,0,0,3,0.06566,Normal
96,50,0,101000,135.60354,0,4,1,0,0,1,2,48,0,0,0,1,0.16106,Normal
97,50,0,101000,27.57493,0,4,1,0,0,1,21,48,0,0,0,1,0.07778,Normal
98,50,0,101044,14.57213,0,4,1,0,0,1,18,38,0,0,0,4,0.06093,Normal
99,50,0,101010,34.34825,0,4,1,0,0,1,6,41,0,0,0,3,0.06778,Normal
100,100,0,102081,37.19707,0,2,1,0,0,1,10,30,0,0,0,1,0.05951,Normal
101,100,0,102081,48.14292,0,2,1,0,0,1,9,30,0,0,0,1,0.05284,Normal
102,100,0,102081,36.67361,0,2,1,0,0,1,6,30,0,0,0,1,0.05166,Normal
103,100,0,102081,38.92482,0,2,1,0,0,1,31,30,0,0,0,1,0.05109,Normal
104,100,0,102029,29.91061,0,2,1,0,0,1,52,23,0,0,0,2,0.03852,Normal
105,100,0,102029,32.07406,0,2,1,0,0,1,30,23,0,0,0,2,0.03919,Normal
106,100,0,102029,27.4861,0,2,1,0,0,1,56,23,0,0,0,2,0.03833,Normal
107,100,0,102029,32.22321,0,2,1,0,0,1,41,23,0,0,0,2,0.03896,Normal
108,100,0,102081,33.17993,0,2,1,0,0,1,3,30,0,0,0,1,0.05155,Normal
109,100,0,102081,9.0031,0,2,1,0,0,1,15,30,0,0,0,1,0.05,Normal
110,100,0,102029,27.93539,0,2,1,0,0,1,26,23,0,0,0,2,0.05107,Normal
111,100,0,102029,30.34199,0,2,1,0,0,1,42,23,0,0,0,2,0.03878,Normal
112,100,0,102081,27.00126,0,2,1,0,0,1,1,30,0,0,0,1,0.05112,Normal
113,100,0,102081,44.27392,0,2,1,0,0,1,17,30,0,0,0,1,0.05214,Normal
114,100,0,102029,32.43637,0,2,1,0,0,1,1,23,0,0,0,2,0.03997,Normal
115,100,0,102029,27.15554,0,2,1,0,0,1,24,23,0,0,0,2,0.03905,Normal
116,100,0,102029,85.81102,0,2,1,0,0,1,53,23,0,0,0,2,0.04425,Normal
117,100,0,102029,38.78424,0,2,1,0,0,1,25,23,0,0,0,2,0.0397,Normal
118,100,0,102029,30.26529,0,2,1,0,0,1,10,23,0,0,0,2,0.03953,Normal
119,100,0,102029,40.72469,0,2,1,0,0,1,5,23,0,0,0,2,0.04044,Normal
120,100,0,102029,27.26508,0,2,1,0,0,1,28,23,0,0,0,2,0.03895,Normal
121,100,0,102081,20.62102,0,2,1,0,0,1,30,30,0,0,0,1,0.04975,Normal
122,100,0,102029,27.97767,0,2,1,0,0,1,17,23,0,0,0,2,0.0393,Normal
123,100,0,102029,19.63601,0,2,1,0,0,1,15,23,0,0,0,2,0.03897,Normal
124,100,0,102029,24.8148,0,2,1,0,0,1,22,23,0,0,0,2,0.03907,Normal
125,100,0,102081,47.56043,0,2,1,0,0,1,5,30,0,0,0,1,0.05264,Normal
126,100,0,102029,55.56678,0,2,1,0,0,1,19,23,0,0,0,2,0.04123,Normal
127,100,0,102029,5.14282,0,2,1,0,0,1,48,23,0,0,0,2,0.03788,Normal
128,100,0,102029,27.85224,0,2,1,0,0,1,36,23,0,0,0,2,0.03882,Normal
129,100,1,102029,0,1,1,0,56,1,0,0,0,1288,23,105.6244,0,2.26151,Normal
130,100,0,102029,17.01177,0,2,1,0,0,1,29,23,0,0,0,2,0.03856,Normal
131,100,0,102081,50.8628,0,2,1,0,0,1,16,30,0,0,0,1,0.05942,Normal
132,100,0,102081,43.34692,0,2,1,0,0,1,34,30,0,0,0,1,0.05131,Normal
133,100,0,102081,36.66968,0,2,1,0,0,1,36,30,0,0,0,1,0.05059,Normal
134,100,0,102081,50.06697,0,2,1,0,0,1,27,30,0,0,0,1,0.05218,Normal
135,100,0,102081,40.13913,0,2,1,0,0,1,28,30,0,0,0,1,0.05114,Normal
136,100,0,102081,15.18903,0,2,1,0,0,1,23,30,0,0,0,1,0.04987,Normal
137,100,0,102081,25.97485,0,2,1,0,0,1,2,30,0,0,0,1,0.05104,Normal
138,100,0,102029,33.28086,0,2,1,0,0,1,23,23,0,0,0,2,0.03943,Normal
139,100,0,102029,18.82145,0,2,1,0,0,1,27,23,0,0,0,2,0.03863,Normal
140,100,0,102029,27.61927,0,2,1,0,0,1,43,23,0,0,0,2,0.03862,Normal
141,100,0,102081,8.98576,0,2,1,0,0,1,40,30,0,0,0,1,0.04909,Normal
142,100,0,102029,47.63759,0,2,1,0,0,1,18,23,0,0,0,2,0.04059,Normal
143,100,0,102081,13.72,0,2,1,0,0,1,42,30,0,0,0,1,0.04908,Normal
144,100,0,102029,34.64374,0,2,1,0,0,1,9,23,0,0,0,2,0.04113,Normal
145,100,0,102029,22.03594,0,2,1,0,0,1,47,23,0,0,0,2,0.03829,Normal
146,100,0,102029,20.40951,0,2,1,0,0,1,31,23,0,0,0,2,0.03861,Normal
147,100,0,102029,4.93085,0,2,1,0,0,1,46,23,0,0,0,2,0.03793,Normal
148,100,0,102081,22.32706,0,2,1,0,0,1,26,30,0,0,0,1,0.04995,Normal
149,100,0,102081,22.43255,0,2,1,0,0,1,19,30,0,0,0,1,0.05026,Normal
150,100,0,102029,55.25489,0,2,1,0,0,1,16,23,0,0,0,2,0.04124,Normal
151,100,0,102029,9.0443,0,2,1,0,0,1,4,23,0,0,0,2,0.03904,Normal
152,100,0,102081,36.99227,0,2,1,0,0,1,38,30,0,0,0,1,0.05053,Normal
153,100,0,102081,7.23742,0,2,1,0,0,1,8,30,0,0,0,1,0.05012,Normal
154,100,0,102081,106.35326,0,2,1,0,0,1,22,30,0,0,0,1,0.0692,Normal
155,100,0,102081,2.9911,0,2,1,0,0,1,25,30,0,0,0,1,0.0495,Normal
156,100,0,102081,37.31208,0,2,1,0,0,1,12,30,0,0,0,1,0.05153,Normal
157,100,0,102029,19.37775,0,2,1,0,0,1,12,23,0,0,0,2,0.03907,Normal
158,100,0,102081,26.24851,0,2,1,0,0,1,18,30,0,0,0,1,0.05048,Normal
159,100,0,102081,33.52112,0,2,1,0,0,1,13,30,0,0,0,1,0.05118,Normal
160,100,0,102081,48.44363,0,2,1,0,0,1,20,30,0,0,0,1,0.05232,Normal
161,100,0,102029,28.67163,0,2,1,0,0,1,44,23,0,0,0,2,0.03865,Normal
162,100,0,102029,58.80349,0,2,1,0,0,1,39,23,0,0,0,2,0.04115,Normal
163,100,0,102029,24.64942,0,2,1,0,0,1,55,23,0,0,0,2,0.0382,Normal
164,100,0,102029,31.17406,0,2,1,0,0,1,33,23,0,0,0,2,0.03904,Normal
165,100,0,102081,36.29324,0,2,1,0,0,1,4,30,0,0,0,1,0.05164,Normal
166,100,0,102081,57.8517,0,2,1,0,0,1,33,30,0,0,0,1,0.05298,Normal
167,100,0,102029,66.54717,0,2,1,0,0,1,50,23,0,0,0,2,0.04172,Normal
168,100,0,102029,28.54161,0,2,1,0,0,1,38,23,0,0,0,2,0.03881,Normal
169,100,0,102029,19.5234,0,2,1,0,0,1,8,23,0,0,0,2,0.03922,Normal
170,100,0,102081,54.82061,0,2,1,0,0,1,32,30,0,0,0,1,0.05264,Normal
171,100,0,102029,22.27838,0,2,1,0,0,1,20,23,0,0,0,2,0.03894,Normal
172,100,0,102029,17.35839,0,2,1,0,0,1,2,23,0,0,0,2,0.0393,Normal
173,100,0,102081,23.16648,0,2,1,0,0,1,11,30,0,0,0,1,0.05058,Normal
174,100,0,102081,41.34658,0,2,1,0,0,1,41,30,0,0,0,1,0.05097,Normal
175,100,0,102081,24.89907,0,2,1,0,0,1,24,30,0,0,0,1,0.05026,Normal
176,100,0,102029,32.59879,0,2,1,0,0,1,37,23,0,0,0,2,0.03909,Normal
177,100,0,102029,33.87561,0,2,1,0,0,1,40,23,0,0,0,2,0.0391,Normal
178,100,0,102081,8.33351,0,2,1,0,0,1,21,30,0,0,0,1,0.04977,Normal
179,100,0,102029,35.26098,0,2,1,0,0,1,6,23,0,0,0,2,0.03998,Normal
180,100,0,102029,53.3684,0,2,1,0,0,1,45,23,0,0,0,2,0.04035,Normal
181,100,1,102081,0,1,1,0,42,1,0,0,0,1260,30,159.14608,0,2.31798,Normal
182,100,0,102029,68.57838,0,2,1,0,0,1,35,23,0,0,0,2,0.04233,Normal
183,100,0,102029,31.32645,0,2,1,0,0,1,7,23,0,0,0,2,0.03977,Normal
184,100,0,102029,22.74514,0,2,1,0,0,1,34,23,0,0,0,2,0.03868,Normal
185,100,0,102029,31.91828,0,2,1,0,0,1,49,23,0,0,0,2,0.0387,Normal
186,100,0,102081,34.63437,0,2,1,0,0,1,35,30,0,0,0,1,0.05058,Normal
187,100,0,102029,31.12803,0,2,1,0,0,1,21,23,0,0,0,2,0.03934,Normal
188,100,0,102029,56.13843,0,2,1,0,0,1,54,23,0,0,0,2,0.04049,Normal
189,100,0,102081,23.38254,0,2,1,0,0,1,39,30,0,0,0,1,0.04957,Normal
190,100,0,102029,31.50729,0,2,1,0,0,1,13,23,0,0,0,2,0.0395,Normal
191,100,0,102081,20.86783,0,2,1,0,0,1,14,30,0,0,0,1,0.05048,Normal
192,100,0,102081,55.6749,0,2,1,0,0,1,7,30,0,0,0,1,0.05357,Normal
193,100,0,102081,46.90501,0,2,1,0,0,1,37,30,0,0,0,1,0.05154,Normal
194,100,0,102029,54.43987,0,2,1,0,0,1,51,23,0,0,0,2,0.04038,Normal
195,100,0,102029,9.70438,0,2,1,0,0,1,14,23,0,0,0,2,0.03872,Normal
196,100,0,102029,145.78459,0,2,1,0,0,1,32,23,0,0,0,2,0.0923,Normal
197,100,0,102081,59.20989,0,2,1,0,0,1,29,30,0,0,0,1,0.05329,Normal
198,100,0,102029,26.13417,0,2,1,0,0,1,3,23,0,0,0,2,0.03956,Normal
199,100,0,102029,24.3441,0,2,1,0,0,1,11,23,0,0,0,2,0.03927,Normal
200,150,0,103059,17.39217,0,3,1,0,0,1,25,27,0,0,0,3,0.04506,Normal
201,150,0,103037,30.74628,0,3,1,0,0,1,11,57,0,0,0,1,0.09502,Normal
202,150,0,103037,11.52891,0,3,1,0,0,1,9,57,0,0,0,1,0.0933,Normal
203,150,0,103037,20.29109,0,3,1,0,0,1,15,57,0,0,0,1,0.09359,Normal
204,150,0,103068,3.95655,0,3,1,0,0,1,21,42,0,0,0,2,0.06871,Normal
205,150,0,103068,24.75899,0,3,1,0,0,1,17,42,0,0,0,2,0.06991,Normal
206,150,0,103059,47.19593,0,3,1,0,0,1,39,27,0,0,0,3,0.04659,Normal
207,150,0,103068,19.18755,0,3,1,0,0,1,4,42,0,0,0,2,0.06998,Normal
208,150,0,103037,22.57326,0,3,1,0,0,1,1,57,0,0,0,1,0.09475,Normal
209,150,0,103059,25.85802,0,3,1,0,0,1,26,27,0,0,0,3,0.04536,Normal
210,150,0,103068,7.90087,0,3,1,0,0,1,29,42,0,0,0,2,0.06829,Normal
211,150,0,103059,36.18384,0,3,1,0,0,1,24,27,0,0,0,3,0.04609,Normal
212,150,0,103037,3.51474,0,3,1,0,0,1,20,57,0,0,0,1,0.09242,Normal
213,150,0,103037,23.12078,0,3,1,0,0,1,19,57,0,0,0,1,0.09373,Normal
214,150,0,103068,24.46523,0,3,1,0,0,1,1,42,0,0,0,2,0.07051,Normal
215,150,0,103068,14.44826,0,3,1,0,0,1,28,42,0,0,0,2,0.06855,Normal
216,150,0,103068,82.52814,0,3,1,0,0,1,16,42,0,0,0,2,0.0801,Normal
217,150,0,103059,45.00503,0,3,1,0,0,1,9,27,0,0,0,3,0.04736,Normal
218,150,0,103068,32.85665,0,3,1,0,0,1,9,42,0,0,0,2,0.07083,Normal
219,150,0,103059,60.10002,0,3,1,0,0,1,43,27,0,0,0,3,0.0479,Normal
220,150,0,103037,25.61147,0,3,1,0,0,1,18,57,0,0,0,1,0.09397,Normal
221,150,0,103059,17.71633,0,3,1,0,0,1,3,27,0,0,0,3,0.04569,Normal
222,150,0,103068,40.00909,0,3,1,0,0,1,24,42,0,0,0,2,0.07108,Normal
223,150,0,103068,20.37304,0,3,1,0,0,1,6,42,0,0,0,2,0.06993,Normal
224,150,0,103068,48.636,0,3,1,0,0,1,25,42,0,0,0,2,0.07212,Normal
225,150,0,103059,20.90554,0,3,1,0,0,1,45,27,0,0,0,3,0.04468,Normal
226,150,0,103059,50.78399,0,3,1,0,0,1,12,27,0,0,0,3,0.04791,Normal
227,150,0,103068,25.99623,0,3,1,0,0,1,10,42,0,0,0,2,0.07013,Normal
228,150,0,103059,34.82541,0,3,1,0,0,1,38,27,0,0,0,3,0.04557,Normal
229,150,0,103068,28.54161,0,3,1,0,0,1,15,42,0,0,0,2,0.07897,Normal
230,150,0,103068,28.86132,0,3,1,0,0,1,27,42,0,0,0,2,0.06956,Normal
231,150,0,103059,32.75956,0,3,1,0,0,1,27,27,0,0,0,3,0.04585,Normal
232,150,0,103059,9.84149,0,3,1,0,0,1,6,27,0,0,0,3,0.04547,Normal
233,150,0,103059,17.94425,0,3,1,0,0,1,42,27,0,0,0,3,0.04457,Normal
234,150,0,103059,24.91036,0,3,1,0,0,1,23,27,0,0,0,3,0.04546,Normal
235,150,0,103059,25.8065,0,3,1,0,0,1,17,27,0,0,0,3,0.04575,Normal
236,150,0,103059,35.27002,0,3,1,0,0,1,48,27,0,0,0,3,0.04532,Normal
237,150,1,103037,0,1,2,0,20,1,0,0,0,1140,57,154.4243,0,2.45978,Normal
238,150,0,103059,56.24941,0,3,1,0,0,1,41,27,0,0,0,3,0.04751,Normal
239,150,0,103068,22.89591,0,3,1,0,0,1,7,42,0,0,0,2,0.07,Normal
240,150,0,103068,39.88672,0,3,1,0,0,1,20,42,0,0,0,2,0.07125,Normal
241,150,0,103037,27.01566,0,3,1,0,0,1,16,57,0,0,0,1,0.09422,Normal
242,150,0,103059,67.35515,0,3,1,0,0,1,34,27,0,0,0,3,0.04913,Normal
243,150,0,103059,20.25312,0,3,1,0,0,1,4,27,0,0,0,3,0.04576,Normal
244,150,0,103059,26.66709,0,3,1,0,0,1,32,27,0,0,0,3,0.04525,Normal
245,150,0,103068,22.76216,0,3,1,0,0,1,26,42,0,0,0,2,0.06915,Normal
246,150,0,103068,16.52512,0,3,1,0,0,1,19,42,0,0,0,2,0.06915,Normal
247,150,0,103068,32.26063,0,3,1,0,0,1,3,42,0,0,0,2,0.07109,Normal
248,150,0,103059,15.20133,0,3,1,0,0,1,16,27,0,0,0,3,0.04528,Normal
249,150,0,103059,27.05528,0,3,1,0,0,1,20,27,0,0,0,3,0.04566,Normal
250,150,0,103059,28.73949,0,3,1,0,0,1,13,27,0,0,0,3,0.04608,Normal
251,150,0,103068,19.72937,0,3,1,0,0,1,14,42,0,0,0,2,0.06959,Normal
252,150,0,103059,3.47679,0,3,1,0,0,1,28,27,0,0,0,3,0.04472,Normal
253,150,0,103059,26.30864,0,3,1,0,0,1,44,27,0,0,0,3,0.04486,Normal
254,150,0,103059,81.1763,0,3,1,0,0,1,29,27,0,0,0,3,0.052,Normal
255,150,0,103037,26.91393,0,3,1,0,0,1,3,57,0,0,0,1,0.09498,Normal
256,150,0,103059,18.23405,0,3,1,0,0,1,18,27,0,0,0,3,0.04537,Normal
257,150,0,103068,39.57574,0,3,1,0,0,1,13,42,0,0,0,2,0.07149,Normal
258,150,0,103059,8.27031,0,3,1,0,0,1,35,27,0,0,0,3,0.04451,Normal
259,150,1,103059,0,1,2,0,48,1,0,0,0,1296,27,146.47911,0,2.32582,Normal
260,150,0,103059,22.88695,0,3,1,0,0,1,5,27,0,0,0,3,0.04593,Normal
261,150,0,103037,20.12996,0,3,1,0,0,1,5,57,0,0,0,1,0.09426,Normal
262,150,0,103059,68.86148,0,3,1,0,0,1,46,27,0,0,0,3,0.04908,Normal
263,150,0,103037,36.28012,0,3,1,0,0,1,2,57,0,0,0,1,0.09638,Normal
264,150,0,103059,30.03319,0,3,1,0,0,1,40,27,0,0,0,3,0.04523,Normal
265,150,0,103037,13.15656,0,3,1,0,0,1,12,57,0,0,0,1,0.09319,Normal
266,150,0,103059,26.00399,0,3,1,0,0,1,36,27,0,0,0,3,0.04517,Normal
267,150,0,103059,68.52523,0,3,1,0,0,1,1,27,0,0,0,3,0.05032,Normal
268,150,1,103068,0,1,2,0,29,1,0,0,0,1218,42,116.33051,0,2.28203,Normal
269,150,0,103068,23.97977,0,3,1,0,0,1,2,42,0,0,0,2,0.07043,Normal
270,150,0,103059,21.44558,0,3,1,0,0,1,37,27,0,0,0,3,0.04492,Normal
271,150,0,103059,38.96036,0,3,1,0,0,1,15,27,0,0,0,3,0.04663,Normal
272,150,0,103068,24.78307,0,3,1,0,0,1,11,42,0,0,0,2,0.07003,Normal
273,150,0,103059,29.05508,0,3,1,0,0,1,21,27,0,0,0,3,0.0457,Normal
274,150,0,103037,21.68089,0,3,1,0,0,1,17,57,0,0,0,1,0.09367,Normal
275,150,0,103037,24.50596,0,3,1,0,0,1,8,57,0,0,0,1,0.09437,Normal
276,150,0,103059,52.86025,0,3,1,0,0,1,2,27,0,0,0,3,0.04825,Normal
277,150,0,103037,15.88773,0,3,1,0,0,1,4,57,0,0,0,1,0.09395,Normal
278,150,0,103037,31.0804,0,3,1,0,0,1,6,57,0,0,0,1,0.09537,Normal
279,150,0,103059,27.26889,0,3,1,0,0,1,22,27,0,0,0,3,0.04557,Normal
280,150,0,103059,29.33889,0,3,1,0,0,1,11,27,0,0,0,3,0.04617,Normal
281,150,0,103037,25.97485,0,3,1,0,0,1,7,57,0,0,0,1,0.09794,Normal
282,150,0,103059,63.48007,0,3,1,0,0,1,10,27,0,0,0,3,0.04948,Normal
283,150,0,103068,33.79091,0,3,1,0,0,1,22,42,0,0,0,2,0.07048,Normal
284,150,0,103068,38.97291,0,3,1,0,0,1,12,42,0,0,0,2,0.07146,Normal
285,150,0,103059,44.05579,0,3,1,0,0,1,33,27,0,0,0,3,0.04647,Normal
286,150,0,103037,10.09569,0,3,1,0,0,1,10,57,0,0,0,1,0.09315,Normal
287,150,0,103068,28.52282,0,3,1,0,0,1,23,42,0,0,0,2,0.06986,Normal
288,150,0,103059,61.97183,0,3,1,0,0,1,31,27,0,0,0,3,0.04856,Normal
289,150,0,103059,23.12366,0,3,1,0,0,1,47,27,0,0,0,3,0.04464,Normal
290,150,0,103068,26.48733,0,3,1,0,0,1,8,42,0,0,0,2,0.0703,Normal
291,150,0,103037,15.02521,0,3,1,0,0,1,13,57,0,0,0,1,0.09326,Normal
